"","Day","Visits","Year","Quarter","Percentage","Name"
"67","Wednesday",160389.967472,"2022","Q1",14.4269003592934,"Greektown"
"68","Thursday",177367.498166839,"2022","Q1",15.9540104868271,"Greektown"
"69","Friday",161401.287221423,"2022","Q1",14.5178674533472,"Greektown"
"70","Saturday",176925.209411341,"2022","Q1",15.9142271019547,"Greektown"
"71","Sunday",147392.699908255,"2023","Q1",13.8907669554364,"Leslieville"
"72","Monday",127284.613983131,"2023","Q1",11.9957156016065,"Leslieville"
"73","Tuesday",152126.358609448,"2023","Q1",14.3368823322887,"Leslieville"
"74","Wednesday",154159.671509604,"2023","Q1",14.5285083467462,"Leslieville"
"75","Thursday",152085.948651075,"2023","Q1",14.3330739665095,"Leslieville"
"76","Friday",159535.886939907,"2023","Q1",15.0351803575788,"Leslieville"
"77","Saturday",168498.77912535,"2023","Q1",15.8798724398338,"Leslieville"
"78","Sunday",123601.90355,"2022","Q1",15.4913365133789,"Leslieville"
"79","Monday",100004.094273,"2022","Q1",12.5337639033369,"Leslieville"
"80","Tuesday",108201.137539889,"2022","Q1",13.5611198907043,"Leslieville"
"81","Wednesday",113429.420386,"2022","Q1",14.2163936901363,"Leslieville"
"82","Thursday",107237.89861174,"2022","Q1",13.4403947404423,"Leslieville"
"83","Friday",104174.078903,"2022","Q1",13.0563985335779,"Leslieville"
"84","Saturday",141229.063955,"2022","Q1",17.7005927284234,"Leslieville"
"85","Sunday",169407.631964916,"2023","Q1",13.0304613154869,"LibertyVillage"
"86","Monday",170673.799001484,"2023","Q1",13.1278520906107,"LibertyVillage"
"87","Tuesday",195004.688002541,"2023","Q1",14.9993303954685,"LibertyVillage"
"88","Wednesday",190978.531508664,"2023","Q1",14.689647320184,"LibertyVillage"
"89","Thursday",194156.468926022,"2023","Q1",14.9340872553842,"LibertyVillage"
"90","Friday",215524.870447555,"2023","Q1",16.5776975589495,"LibertyVillage"
"91","Saturday",164343.29987774,"2023","Q1",12.6409240639162,"LibertyVillage"
"92","Sunday",107971.116081,"2022","Q1",12.2168024946266,"LibertyVillage"
"93","Monday",124691.360323844,"2022","Q1",14.1086781090594,"LibertyVillage"
"94","Tuesday",132468.854068,"2022","Q1",14.9886922130562,"LibertyVillage"
