,Name,Year,Quarter,Time,Visits,Percentage
66,QueenStreet,2023,Q1,Morning: 6am - 12pm,556434.3021,23.57474231
67,QueenStreet,2023,Q1,Afternoon: 12pm - 6pm,1045209.126,44.28292024
68,QueenStreet,2023,Q1,Evening: 6pm - 12am,572545.7523,24.25734452
69,QueenStreet,2022,Q1,Early Morning: 12am - 6am,189859.3371,9.554840308
70,QueenStreet,2022,Q1,Morning: 6am - 12pm,399218.2021,20.09101173
71,QueenStreet,2022,Q1,Afternoon: 12pm - 6pm,894068.258,44.99478171
72,QueenStreet,2022,Q1,Evening: 6pm - 12am,503902.9761,25.35936626
73,Riverside,2023,Q1,Early Morning: 12am - 6am,64544.18975,8.337028724
74,Riverside,2023,Q1,Morning: 6am - 12pm,231307.8827,29.8775222
75,Riverside,2023,Q1,Afternoon: 12pm - 6pm,315198.0132,40.71342285
76,Riverside,2023,Q1,Evening: 6pm - 12am,163136.8806,21.07202623
77,Riverside,2022,Q1,Early Morning: 12am - 6am,57213.72148,9.943425654
78,Riverside,2022,Q1,Morning: 6am - 12pm,174454.6024,30.31923679
79,Riverside,2022,Q1,Afternoon: 12pm - 6pm,231209.6638,40.18294988
80,Riverside,2022,Q1,Evening: 6pm - 12am,112514.4723,19.55438768
81,StLawrenceMarket,2023,Q1,Early Morning: 12am - 6am,1117116.937,18.36087418
82,StLawrenceMarket,2023,Q1,Morning: 6am - 12pm,1977966.133,32.50974548
83,StLawrenceMarket,2023,Q1,Afternoon: 12pm - 6pm,1945470.64,31.97565131
84,StLawrenceMarket,2023,Q1,Evening: 6pm - 12am,1043671.507,17.15372903
85,StLawrenceMarket,2022,Q1,Early Morning: 12am - 6am,661115.4629,12.54225814
86,StLawrenceMarket,2022,Q1,Morning: 6am - 12pm,1719931.204,32.62943064
87,StLawrenceMarket,2022,Q1,Afternoon: 12pm - 6pm,1801627.522,34.17932074
88,StLawrenceMarket,2022,Q1,Evening: 6pm - 12am,1088429.75,20.64899047
