"","Name","Year","Quarter","target","control","yoy_growth"
"1","City of Toronto",2024,"Q1",18.3,15.5,18.0645161290323
"2","City of Toronto",2023,"Q4",17.5,14.5,20.68965517
"3","City of Toronto",2023,"Q3",16.9,13.4,26.11940299
"4","City of Toronto",2023,"Q2",16.2,12.6,28.57142857
"5","City of Toronto",2023,"Q1",15.5,11.8,31.3559322
