Name,Quarter,Year
DowntownWest,Q1,2022
DowntownYonge,Q2,2023
FinancialDistrict,Q3,
GerrardIndiaBaz,Q4,
Greektown,,
Leslieville,,
LibertyVillage,,
PapeVillage,,
QueenStreet,,
Riverside,,
StLawrenceMarket,,
WestQueenWest,,
