"","direction","AM_Control","PM_Control","AM_Target","PM_Target","AM_Diff","PM_Diff","Area","Year","Quarter"
"25","EB",259.823333333333,222.31,231.616666666667,304.513333333333,-28.2066666666666,82.2033333333333,"DowntownWest",2023,"Q2"
"26","WB",156.61,229.976666666667,160.146666666667,257.376666666667,3.53666666666666,27.4,"DowntownWest",2023,"Q2"
"27","EB",45.1033333333333,55.5666666666667,68.1866666666667,105.193333333333,23.0833333333333,49.6266666666667,"DowntownYonge",2023,"Q2"
"28","WB",40.4866666666667,50.0366666666667,56.2266666666667,59.7066666666667,15.74,9.66999999999999,"DowntownYonge",2023,"Q2"
"29","EB",98.8933333333333,138.723333333333,206.873333333333,279.003333333333,107.98,140.28,"FinancialDistrict",2023,"Q2"
"30","WB",87.06,136.406666666667,109.75,158.2,22.69,21.7933333333333,"FinancialDistrict",2023,"Q2"
"31","EB",155.08,150.283333333333,121.31,144.383333333333,-33.77,-5.90000000000001,"GerrardIndiaBaz",2023,"Q2"
"32","WB",120.093333333333,135.53,124.906666666667,112.37,4.81333333333333,-23.16,"GerrardIndiaBaz",2023,"Q2"
"33","EB",325.003333333333,403.796666666667,316.853333333333,397.216666666667,-8.14999999999998,-6.57999999999998,"Greektown",2023,"Q2"
"34","WB",369.083333333333,420.943333333333,391.513333333333,398.293333333333,22.43,-22.65,"Greektown",2023,"Q2"
"35","EB",261.536666666667,199.213333333333,281.103333333333,209.993333333333,19.5666666666667,10.78,"Leslieville",2023,"Q2"
"36","WB",226.26,232.896666666667,266.063333333333,225.11,39.8033333333333,-7.78666666666666,"Leslieville",2023,"Q2"
"37","EB",268.2,253.615,254.933333333333,240.7,-13.2666666666667,-12.915,"LibertyVillage",2023,"Q2"
"38","WB",287.08,295.103333333333,235.476666666667,294.72,-51.6033333333333,-0.383333333333326,"LibertyVillage",2023,"Q2"
"39","NB",65.4233333333333,82.9133333333333,79.5766666666667,83.9466666666667,14.1533333333333,1.03333333333335,"PapeVillage",2023,"Q2"
"40","SB",65.2,89.2666666666667,65.4433333333333,77.1333333333333,0.243333333333325,-12.1333333333333,"PapeVillage",2023,"Q2"
"41","EB",319.453333333333,398.75,320.62,360.79,1.16666666666669,-37.96,"QueenStreet",2023,"Q2"
"42","WB",342.03,430.006666666667,276.636666666667,372.163333333333,-65.3933333333333,-57.8433333333334,"QueenStreet",2023,"Q2"
"43","EB",210.61,242.28,210.28,261.153333333333,-0.329999999999984,18.8733333333333,"Riverside",2023,"Q2"
"44","WB",222.356666666667,247.75,261.733333333333,291.333333333333,39.3766666666667,43.5833333333333,"Riverside",2023,"Q2"
"45","NB",155.06,209.07,220.79,181.856666666667,65.73,-27.2133333333333,"StLawrenceMarket",2023,"Q2"
"46","SB",162.216666666667,191.043333333333,248.036666666667,241.413333333333,85.82,50.37,"StLawrenceMarket",2023,"Q2"
"47","EB",341.143333333333,396.956666666667,332.52,442.556666666667,-8.62333333333333,45.6,"WestQueenWest",2023,"Q2"
"48","WB",356.506666666667,373.396666666667,404,458.936666666667,47.4933333333333,85.54,"WestQueenWest",2023,"Q2"
"49","EB",229.85,250.346666666667,270.006666666667,281.046666666667,40.1566666666667,30.7,"DowntownWest",2023,"Q3"
"50","WB",159.883333333333,265.096666666667,180.643333333333,275.926666666667,20.76,10.83,"DowntownWest",2023,"Q3"
"51","EB",50.4466666666667,76.5733333333333,58.3433333333333,75.9633333333333,7.89666666666667,-0.609999999999999,"DowntownYonge",2023,"Q3"
"52","WB",44.4366666666667,58.2466666666667,47.85,52.3666666666667,3.41333333333333,-5.88,"DowntownYonge",2023,"Q3"
"53","EB",103.643333333333,169.713333333333,189.913333333333,215.74,86.27,46.0266666666667,"FinancialDistrict",2023,"Q3"
"54","WB",99.4066666666667,154.3,127.05,126.48,27.6433333333333,-27.82,"FinancialDistrict",2023,"Q3"
"55","EB",150.123333333333,138.776666666667,137.753333333333,138.663333333333,-12.37,-0.113333333333344,"GerrardIndiaBaz",2023,"Q3"
"56","WB",119.526666666667,120.206666666667,106.253333333333,125.46,-13.2733333333333,5.25333333333333,"GerrardIndiaBaz",2023,"Q3"
"57","EB",299.376666666667,366.923333333333,334.97,385.013333333333,35.5933333333334,18.09,"Greektown",2023,"Q3"
"58","WB",344.813333333333,384.876666666667,365.74,366.833333333333,20.9266666666667,-18.0433333333333,"Greektown",2023,"Q3"
"59","EB",243.13,191.63,266.853333333333,210.916666666667,23.7233333333334,19.2866666666667,"Leslieville",2023,"Q3"
"60","WB",246.55,216.35,247.19,226.496666666667,0.639999999999986,10.1466666666667,"Leslieville",2023,"Q3"
"61","EB",372.56,262.46,286.753333333333,438.89,-85.8066666666666,176.43,"LibertyVillage",2023,"Q3"
"62","WB",249.336666666667,348.25,318.455,296.943333333333,69.1183333333333,-51.3066666666667,"LibertyVillage",2023,"Q3"
"63","NB",62.9033333333333,84.7766666666667,60.74,87.44,-2.16333333333333,2.66333333333333,"PapeVillage",2023,"Q3"
"64","SB",77.9566666666667,105.806666666667,61.8066666666667,73.5066666666667,-16.15,-32.3,"PapeVillage",2023,"Q3"
"65","EB",304.906666666667,440.03,328.28,365.783333333333,23.3733333333333,-74.2466666666667,"QueenStreet",2023,"Q3"
"66","WB",305.686666666667,458.29,262.25,332.146666666667,-43.4366666666667,-126.143333333333,"QueenStreet",2023,"Q3"
"67","EB",227.37,254.793333333333,230.606666666667,261.12,3.23666666666665,6.32666666666668,"Riverside",2023,"Q3"
"68","WB",227.253333333333,244.743333333333,232.843333333333,330.193333333333,5.59,85.45,"Riverside",2023,"Q3"
"69","NB",173.1,177.166666666667,176.755,178.646666666667,3.655,1.48000000000002,"StLawrenceMarket",2023,"Q3"
"70","SB",250.853333333333,227.523333333333,186.51,199.136666666667,-64.3433333333334,-28.3866666666667,"StLawrenceMarket",2023,"Q3"
"71","EB",374.643333333333,404.156666666667,392.726666666667,435.48,18.0833333333334,31.3233333333333,"WestQueenWest",2023,"Q3"
"72","WB",383.063333333333,377.106666666667,421.323333333333,380.576666666667,38.26,3.46999999999997,"WestQueenWest",2023,"Q3"
"73","EB",330.113333333333,306.3,221.6,218.2,-108.513333333333,-88.1,"DowntownWest",2023,"Q4"
"74","WB",175.62,236.496666666667,179.8,197.2,4.17999999999998,-39.2966666666667,"DowntownWest",2023,"Q4"
"75","EB",44.82,49.8433333333333,54.8,72.8,9.98,22.9566666666667,"DowntownYonge",2023,"Q4"
"76","WB",49.15,45.68,49.6,76.4,0.450000000000003,30.72,"DowntownYonge",2023,"Q4"
"77","EB",147.78,175.996666666667,179,171,31.22,-4.99666666666667,"FinancialDistrict",2023,"Q4"
"78","WB",94.05,154.523333333333,133.8,175,39.75,20.4766666666667,"FinancialDistrict",2023,"Q4"
"79","EB",110.85,138.036666666667,115.4,166.8,4.55,28.7633333333333,"GerrardIndiaBaz",2023,"Q4"
"80","WB",116.406666666667,115.306666666667,103.8,145.4,-12.6066666666667,30.0933333333333,"GerrardIndiaBaz",2023,"Q4"
"81","EB",447.186666666667,444.433333333333,298.4,453.4,-148.786666666667,8.9666666666667,"Greektown",2023,"Q4"
"82","WB",371.256666666667,401.326666666667,315.8,467.6,-55.4566666666666,66.2733333333334,"Greektown",2023,"Q4"
"83","EB",222.37,183.63,197.6,224,-24.77,40.37,"Leslieville",2023,"Q4"
"84","WB",245.113333333333,224.736666666667,228.8,260,-16.3133333333333,35.2633333333333,"Leslieville",2023,"Q4"
"85","EB",214.315,285.94,270.24,358.52,55.925,72.58,"LibertyVillage",2023,"Q4"
"86","WB",250.2,324.123333333333,280.44,322.036666666667,30.24,-2.08666666666664,"LibertyVillage",2023,"Q4"
"87","NB",59.7733333333333,85.5066666666667,61.6,83.4,1.82666666666667,-2.10666666666667,"PapeVillage",2023,"Q4"
"88","SB",63.9966666666667,83.77,68.6,96.2,4.60333333333335,12.43,"PapeVillage",2023,"Q4"
"89","EB",305.113333333333,403.463333333333,293.6,382.6,-11.5133333333333,-20.8633333333333,"QueenStreet",2023,"Q4"
"90","WB",375.473333333333,475.796666666667,248.2,348.6,-127.273333333333,-127.196666666667,"QueenStreet",2023,"Q4"
"91","EB",227.793333333333,238.6,204.8,293.2,-22.9933333333334,54.6,"Riverside",2023,"Q4"
"92","WB",227.68,278.24,247,288.8,19.32,10.56,"Riverside",2023,"Q4"
"93","NB",177.853333333333,186.923333333333,192.6,293.2,14.7466666666667,106.276666666667,"StLawrenceMarket",2023,"Q4"
"94","SB",181.073333333333,238.91,203.4,219.8,22.3266666666667,-19.11,"StLawrenceMarket",2023,"Q4"
"95","EB",371.576666666667,530.32,350.6,441,-20.9766666666666,-89.3200000000001,"WestQueenWest",2023,"Q4"
"96","WB",417.21,464.963333333333,362.8,475.2,-54.41,10.2366666666667,"WestQueenWest",2023,"Q4"
