"","Name","Year","Quarter","target","control","yoy_growth"
"1","City of Toronto",2024,"Q1",8.56666666666667,6.56666666666667,30.4568527918782
"2","City of Toronto",2023,"Q4",6.7,7.6,-11.8421052631579
"3","City of Toronto",2023,"Q3",6.33333333333333,6.46666666666667,-2.0618556701031
"4","City of Toronto",2023,"Q2",6.03333333333333,6.03333333333333,0
"5","City of Toronto",2023,"Q1",6.56666666666667,7.83333333333333,-16.1702127659574
